0.0000000000,0.0014440646,0.0011879604,0.0344668019,0.3639042669,0.2993660295,0.5471435182,0.6285448981,600.0000000000
0.0050000000,0.0020031605,0.0014699958,0.0383405241,0.5047964468,0.3704389382,0.6086369511,0.7965281207,600.0000000000
0.0100000000,0.0021705338,0.0028538459,0.0534213992,0.5469745130,0.7191691638,0.8480384212,0.6214040542,600.0000000000
0.0150000000,0.0024944566,0.0052901555,0.0727334555,0.6286030589,1.3331191972,1.1546078110,0.5271080388,600.0000000000
0.0200000000,0.0027172806,0.0087897901,0.0937538803,0.6847547192,2.2150270957,1.4882967095,0.4466546993,600.0000000000
0.0250000000,0.0030709786,0.0134358230,0.1159129974,0.7738866114,3.3858273855,1.8400617885,0.4097072262,600.0000000000
0.0300000000,0.0033759492,0.0191042598,0.1382181600,0.8507392086,4.8142734576,2.1941452681,0.3786163207,600.0000000000
0.0350000000,0.0035822213,0.0258331657,0.1607269912,0.9027197600,6.5099577532,2.5514618855,0.3459662733,600.0000000000
0.0400000000,0.0038109843,0.0335813567,0.1832521670,0.9603680504,8.4625018923,2.9090379668,0.3232574002,600.0000000000
0.0450000000,0.0041172391,0.0425070087,0.2061722793,1.0375442647,10.7117662026,3.2728834691,0.3109014648,600.0000000000
0.0500000000,0.0043647855,0.0524848140,0.2290956437,1.0999259419,13.2261731207,3.6367805984,0.2969455849,600.0000000000
0.0550000000,0.0047151722,0.0635245691,0.2520408084,1.1882233989,16.0081914116,4.0010237954,0.2919811175,600.0000000000
0.0600000000,0.0049389630,0.0756044764,0.2749626818,1.2446186809,19.0523280430,4.3648972546,0.2805607118,600.0000000000
0.0650000000,0.0051476395,0.0887504993,0.2979102202,1.2972051621,22.3651258207,4.7291781337,0.2700691592,600.0000000000
0.0700000000,0.0055494065,0.1031195845,0.3211223825,1.3984504411,25.9861353001,5.0976597866,0.2704084813,600.0000000000
0.0750000000,0.0056071264,0.1179285249,0.3434072290,1.4129958610,29.7179882788,5.4514207578,0.2555289571,600.0000000000
0.0800000000,0.0065800006,0.1348480649,0.3672166457,1.6581601421,33.9817123429,5.8293835303,0.2810177326,600.0000000000
0.0850000000,0.0062896902,0.1522037617,0.3901330051,1.5850019333,38.3553479414,6.1931694585,0.2526980642,600.0000000000
0.0900000000,0.0064405014,0.1690278553,0.4111299737,1.6230063614,42.5950195343,6.5264860020,0.2456155366,600.0000000000
0.0950000000,0.0069332858,0.1903276634,0.4362655881,1.7471880150,47.9625711703,6.9255015104,0.2493953705,600.0000000000
0.1000000000,0.0098418466,0.2105370577,0.4588431733,2.4801453459,53.0553385378,7.2839095641,0.3377506714,600.0000000000
